scientific_name,park_name,observations
Lewisia nevadensis,Redwood,82
Arenaria congesta var. subcongesta,Great Smoky Mountains,90
Calystegia sepium,Yellowstone,218
Carex backii,Great Smoky Mountains,58
Betula nigra,Redwood,106
Quercus,Redwood,59
Spiraea prunifolia,Great Smoky Mountains,48
Andropogon glomeratus,Redwood,65
Didymodon fallax var. reflexus,Yellowstone,208
Rhynchospora alba,Redwood,88
Accipiter cooperii,Redwood,95
Eurycea longicauda longicauda,Yosemite,147
Scleria oligantha,Great Smoky Mountains,70
Orthotrichum stellatum,Great Smoky Mountains,71
Rhododendron maximum,Redwood,100
Morus alba,Great Smoky Mountains,49
Sambucus racemosa var. racemosa,Great Smoky Mountains,77
Nemacladus interior,Redwood,100
Sphagnum subsecundum,Great Smoky Mountains,73
Euphagus cyanocephalus,Redwood,79
Eleocharis quinqueflora,Redwood,106
Crotalaria sagittalis,Redwood,56
Erechtites hieracifolia,Yosemite,134
Scrophularia marilandica,Redwood,89
Viola blanda var. blanda,Great Smoky Mountains,108
Hordeum murinum ssp. murinum,Yosemite,115
Calcarius lapponicus,Redwood,91
Agrostis mertensii,Yosemite,135
Seiurus aurocapilla,Redwood,86
Chelone lyonii,Yellowstone,244
Viburnum edule,Yosemite,136
Platanthera obtusata,Great Smoky Mountains,116
Pseudacris maculata,Redwood,109
Chasmanthium sessiliflorum,Yellowstone,257
Dichanthelium acuminatum var. acuminatum,Yosemite,123
Osmorhiza berteroi,Yellowstone,263
Hackelia nervosa,Yosemite,168
Poa sylvestris,Redwood,118
Amorpha fruticosa,Yellowstone,258
Anthemis cotula,Yellowstone,252
Rumex obtusifolius,,27
Clarkia rhomboidea,Great Smoky Mountains,92
Berberis canadensis,Great Smoky Mountains,74
Poa bolanderi,Yosemite,135
Zonotrichia atricapilla,Redwood,94
Pinus,Redwood,94
Potentilla fruticosa,Redwood,71
Melanerpes erythrocephalus,Great Smoky Mountains,84
Digitaria violascens,Yosemite,132
Hypochaeris radicata,Great Smoky Mountains,57
Phacelia egena,Yellowstone,282
Atrichum oerstedianum,Great Smoky Mountains,74
Pinus lambertiana,Redwood,116
Thalictrum alpinum,Redwood,110
Jeffersonia diphylla,Yellowstone,258
Triosteum perfoliatum,Yellowstone,257
Vaccinium parvifolium,Yellowstone,253
Sematophyllum demissum,Redwood,109
Phlox stolonifera,Yellowstone,247
Cryptantha muricata,Yellowstone,267
Pseudoroegneria spicata,Yosemite,156
Prosartes maculatum,Great Smoky Mountains,105
Cuscuta compacta,Yosemite,140
Salix farriae,Redwood,108
Coreopsis tripteris,Redwood,86
Vermivora celata,Yosemite,106
Malus angustifolia,Great Smoky Mountains,71
Cyanocitta stelleri,Yellowstone,230
Platanthera dilatata var. dilatata,Yellowstone,257
Cheilanthes intertexta,Yosemite,124
Carex lenticularis var. lipocarpa,Redwood,112
Floerkea proserpinacoides,Yosemite,131
Juncus effusus var. solutus,Yosemite,131
Thelypodium sagittatum,Yosemite,164
Lychnis coronaria,Yellowstone,260
Carduelis tristis,Redwood,110
Cicuta douglasii,Redwood,119
Melanthium latifolium,Yosemite,167
Lespedeza procumbens,Yellowstone,233
Juncus ensifolius var. montanus,Redwood,83
Osmorhiza depauperata,Great Smoky Mountains,67
Cucumis melo,Redwood,80
Viola blanda var. blanda,Yellowstone,245
Oncorhynchus mykiss,Yosemite,118
Ajuga reptans,Great Smoky Mountains,60
Ranunculus pusillus,Great Smoky Mountains,82
Taraxacum ceratophorum,Yosemite,151
Oxytropis parryi,Great Smoky Mountains,66
Cynosurus echinatus,Redwood,75
Platanthera stricta,Redwood,
Dodecatheon subalpinum,Yellowstone,206
Rumex paucifolius,Great Smoky Mountains,86
Cyperus pseudovegetus,Redwood,108
Malus coronaria,Great Smoky Mountains,75
Nepeta cataria,Yosemite,189
Hieracium piloselloides,Redwood,77
Dichanthelium dichotomum var. dichotomum,Yellowstone,242
Bidens aristosa,Redwood,111
Secale cereale,Great Smoky Mountains,82
Rugelia nudicaulis,Yosemite,120
Iva annua,Great Smoky Mountains,70
Bromus suksdorfii,Yellowstone,243
Taenidia integerrima,Redwood,114
Symphyotrichum spathulatum,Redwood,110
Heterotheca villosa var. villosa,Yellowstone,276
Pica hudsonia,Yellowstone,239
Viburnum lentago,Great Smoky Mountains,74
Saxifraga subapetala,Yellowstone,265
Helianthella quinquenervis,Yellowstone,237
Pteridium aquilinum var. latiusculum,Great Smoky Mountains,29
Sturnus vulgaris,Yellowstone,233
Carex preslii,Great Smoky Mountains,25
Pellaea breweri,Great Smoky Mountains,73
Houstonia longifolia var. longifolia,Yellowstone,254
Mustela erminea,Redwood,118
Monotropa hypopithys,Yosemite,154
Pandion haliaetus,Yosemite,134
Nandina domestica,Yellowstone,220
Aix sponsa,Yosemite,152
Iris missouriensis,Yosemite,127
Rigiopappus leptocladus,Yellowstone,266
Trifolium aureum,Yellowstone,263
Ericameria cuneata var. cuneata,Yosemite,166
Juncus marginatus,Great Smoky Mountains,53
Carex jamesii,Great Smoky Mountains,117
Carex gracillima,Yellowstone,240
Crotalus viridis viridis,Great Smoky Mountains,55
Penstemon procerus,Yellowstone,215
Thaspium trifoliatum var. aureum,Yosemite,125
Leucobryum glaucum,Redwood,89
Empidonax difficilis,Yellowstone,261
Sonchus oleraceus,Redwood,99
Stizostedion vitreum,Great Smoky Mountains,108
Heterocladium macounii,Great Smoky Mountains,110
Saponaria officinalis,Great Smoky Mountains,79
Stizostedion canadense,Redwood,76
Riparia riparia,Yellowstone,199
Chasmanthium sessiliflorum,Great Smoky Mountains,70
Setophaga dominica,Yosemite,140
Desmodium paniculatum var. paniculatum,Yellowstone,206
Sayornis nigricans,Yosemite,128
Logfia arvensis,Yosemite,154
Sambucus mexicana,Yellowstone,232
Gratiola viscidula,Great Smoky Mountains,107
Populus alba,Yellowstone,251
Galium obtusum,Yosemite,114
Rosa setigera,Yosemite,135
Cercocarpus betuloides var. betuloides,Yellowstone,269
Opuntia fragilis,Great Smoky Mountains,57
Smallanthus uvedalius,Redwood,91
Silene stellata,Redwood,98
Richardsonius balteatus,Yosemite,163
Panicum rigidulum var. elongatum,Redwood,93
Eriogonum prattenianum var. prattenianum,Yosemite,143
Doellingeria infirma,Great Smoky Mountains,68
Agoseris aurantiaca,Yellowstone,241
Verbena hastata,Yosemite,122
Aster patens var. patens,Yellowstone,230
Elymus glaucus ssp. glaucus,Redwood,70
Fleischmannia incarnata,Redwood,96
Sialia sialis,Great Smoky Mountains,69
Scolochloa festucacea,Redwood,97
Elymus hystrix var. hystrix,Yosemite,166
Sarracenia purpurea,Yellowstone,235
Eriogonum ovalifolium var. nivale,Redwood,149
Sedum sarmentosum,Great Smoky Mountains,56
Brachydontium trichodes,Yosemite,141
Geranium dissectum,Great Smoky Mountains,119
Typha angustifolia,Redwood,77
Prunus hortulana,Yosemite,147
Ranunculus acris,Yosemite,142
Eurybia chlorolepis,Yellowstone,216
Sphenopholis pensylvanica,Great Smoky Mountains,49
Circaea alpina,Redwood,114
Erigenia bulbosa,Redwood,124
Senecio streptanthifolius,Great Smoky Mountains,69
Lasiurus blossevillii,Redwood,113
Astragalus alpinus,Great Smoky Mountains,82
Crataegus uniflora,Great Smoky Mountains,91
Streptopus lanceolatus var. roseus,Redwood,99
Lycopus asper,Yellowstone,283
Empidonax wrightii,Redwood,116
Symphyotrichum retroflexum,Yosemite,163
Ericameria cuneata var. cuneata,Redwood,100
Mimulus laciniatus,Yellowstone,239
Senecio clarkianus,Yosemite,157
Saccharum alopecuroidum,Yosemite,145
Picoides borealis,Yosemite,43
Lepidium ramosissimum,Redwood,91
Plagiomnium ciliare,Redwood,108
Malva neglecta,Yellowstone,229
Amelanchier utahensis,Great Smoky Mountains,66
Allium campanulatum,Yellowstone,234
Carex integra,Yellowstone,258
Castilleja lacera,Yellowstone,230
Collomia heterophylla,Great Smoky Mountains,49
Anemone occidentalis,Yosemite,148
Senecio aureus,Yosemite,153
Astragalus congdonii,Yellowstone,230
Carex,Redwood,80
Lysimachia hybrida,Yellowstone,246
Amaranthus albus,Yellowstone,212
Poa palustris,Yosemite,172
Melilotus albus,Redwood,85
Quercus michauxii,Redwood,131
Uvularia perfoliata,Great Smoky Mountains,79
Thalictrum fendleri,Yosemite,146
Epilobium lactiflorum,Yellowstone,239
Poecile atricapillus,Great Smoky Mountains,97
Helmitheros vermivorus,Yellowstone,291
Sequoiadendron giganteum,Yosemite,141
Ditrichum pusillum,Yosemite,160
Viburnum lantana,Yellowstone,245
Ailanthus altissima,Redwood,73
Salix bebbiana,Redwood,86
Townsendia parryi,Redwood,70
Corynorhinus rafinesquii,Yosemite,188
Nycticorax nycticorax,Great Smoky Mountains,64
Lespedeza hirta,Redwood,106
Neckera pennata,Redwood,115
Ageratina occidentalis,Yellowstone,246
Baeolophus inornatus,Redwood,97
Ribes cynosbati,Yellowstone,237
Krascheninnikovia lanata,Yosemite,151
Rumex crispus,Yellowstone,256
Lonicera involucrata,Yosemite,129
Pluvialis dominica,Redwood,111
Equisetum scirpoides,Yellowstone,227
Spizella pallida,Yellowstone,258
Hemitremia flammea,Yellowstone,251
Fabronia ciliaris var. polycarpa,Yellowstone,264
Elymus trachycaulus ssp. subsecundus,Yosemite,146
Erigeron peregrinus var. hirsutus,Yosemite,125
Eriogonum umbellatum var. nevadense,Great Smoky Mountains,63
Mimulus viscidus,Yosemite,192
Juncus orthophyllus,Great Smoky Mountains,77
Limosa fedoa,Yellowstone,266
Juncus uncialis,Great Smoky Mountains,97
Fabronia ciliaris,Redwood,111
Thaspium barbinode,Great Smoky Mountains,95
Polystichum scopulinum,Great Smoky Mountains,54
Oxalis violacea,Yosemite,159
Comandra umbellata,Yosemite,145
Carex stipata,Redwood,101
Ribes aureum var. aureum,Yosemite,139
Allophyllum gilioides ssp. gilioides,Great Smoky Mountains,54
Ulmus alata,Yosemite,144
Mephitis mephitis,Yellowstone,257
Rudbeckia fulgida var. fulgida,Yosemite,151
Arnica discoidea,Yosemite,153
Geum triflorum,Yellowstone,234
Draba oligosperma,Great Smoky Mountains,34
Cleistes divaricata,Yellowstone,236
Tamias quadrimaculatus,Yellowstone,261
Hedysarum sulphurescens,Yosemite,143
Polypodium hesperium,Great Smoky Mountains,68
Galium boreale,Yellowstone,252
Hosta lancifolia,Redwood,125
Trillium catesbaei,Redwood,94
Larus californicus,Yosemite,136
Rana draytonii,Great Smoky Mountains,43
Fontinalis sullivantii,Redwood,97
Clematis occidentalis var. grosseserrata,Yellowstone,247
Anemone occidentalis,Great Smoky Mountains,82
Anemone patens var. multifida,Great Smoky Mountains,94
Diervilla sessilifolia,Great Smoky Mountains,81
Pohlia annotina,Great Smoky Mountains,84
Astomum muehlenbergianum,Great Smoky Mountains,115
Aster patens var. patens,Yosemite,132
Limnothlypis swainsonii,Great Smoky Mountains,56
Arabis repanda var. greenei,Great Smoky Mountains,78
Brachyelytrum septentrionale,Yellowstone,247
Secale cereale,Redwood,134
Packera aurea,Great Smoky Mountains,71
Delphinium gracilentum,Great Smoky Mountains,75
Carex debilis var. interjecta,Yellowstone,239
Myriophyllum sibiricum,Yosemite,176
Eriophyllum nubigenum,Yosemite,118
Cryptantha ambigua,Yosemite,159
Epilobium glaberrimum ssp. glaberrimum,Great Smoky Mountains,
Sorbus sitchensis var. grayi,Yosemite,153
Plantago major,Great Smoky Mountains,90
Valeriana occidentalis,Yosemite,154
Mimulus moschatus,Yosemite,139
Orthocarpus luteus,Redwood,78
Hoita macrostachya,Yellowstone,263
Polytrichum piliferum,Redwood,110
Notropis volucellus,Redwood,69
Poa sylvestris,Yosemite,115
Artemisia vulgaris,Great Smoky Mountains,86
Smilax tamnoides,Yosemite,132
Erigeron compactus,Yosemite,148
Clarkia purpurea ssp. viminea,Yosemite,157
Carex stipata var. stipata,Yosemite,174
Tortella humilis,Redwood,54
Elodea nuttallii,Redwood,120
Liriodendron tulipifera,Yosemite,148
Sanicula bipinnatifida,Redwood,105
Silene antirrhina,Yosemite,163
Packera werneriifolia,Great Smoky Mountains,45
Pinicola enucleator,Yosemite,149
Potamogeton strictifolius,Great Smoky Mountains,58
Desmognathus wrighti,Yellowstone,201
Bryum lisae,Redwood,155
Holosteum umbellatum,Yosemite,142
Lolium arundinaceum,Yellowstone,247
Carex aggregata,Yellowstone,279
Anthus rubescens,Yosemite,177
Cirsium undulatum,Great Smoky Mountains,84
Helenium flexuosum,Yosemite,133
Aythya affinis,Great Smoky Mountains,115
Limosa fedoa,Yosemite,131
Tipularia discolor,Redwood,57
Arenaria aculeata,Great Smoky Mountains,68
Juncus diffusissimus,Yellowstone,245
Lutra canadensis,Redwood,127
Phalaris arundinacea,Yellowstone,201
Antennaria argentea,Yellowstone,249
Sorex monticolus,Yellowstone,252
Mimus polyglottos,Great Smoky Mountains,116
Panicum gattingeri,Great Smoky Mountains,94
Orobanche uniflora,Redwood,92
Nycticeius humeralis,Yellowstone,219
Zonotrichia leucophrys,Yosemite,123
Rhododendron maximum,Yellowstone,238
Oxalis montana,Yosemite,161
Salvelinus namaycush,Redwood,76
Bryum lisae var. cuspidatum,Yellowstone,228
Mimulus angustatus,Great Smoky Mountains,52
Thermopsis montana,Yellowstone,261
Eleocharis palustris,Yellowstone,242
Oxalis corniculata,Redwood,92
Hypericum mitchellianum,Yellowstone,276
Senecio fremontii var. fremontii,Yosemite,114
Rudbeckia laciniata var. humilis,Yosemite,152
Nucifraga columbiana,Redwood,117
Contopus cooperi,Redwood,130
Carex tahoensis,Redwood,124
Bryoandersonia illecebra,Redwood,93
Polygonatum biflorum var. biflorum,Redwood,67
Dodecatheon jeffreyi,Redwood,118
Leersia virginica,Great Smoky Mountains,61
Polygonum douglasii ssp. douglasii,Great Smoky Mountains,58
Montia chamissoi,Great Smoky Mountains,86
Hedysarum sulphurescens,Great Smoky Mountains,102
Lysimachia ciliata,Yosemite,141
Turdus migratorius,Great Smoky Mountains,69
Urocitellus beldingi,Yosemite,157
Trifolium cyathiferum,Redwood,128
Carex davyi,Yellowstone,201
Mirabilis linearis,Yellowstone,265
Viburnum rafinesquianum,Yellowstone,273
Plethodon aureolus,Redwood,90
Astragalus crassicarpus var. paysonii,Great Smoky Mountains,45
Cinna arundinacea,Great Smoky Mountains,70
Bidens vulgata,Redwood,102
Digitaria sanguinalis,Yosemite,144
Hymenocallis caroliniana,Redwood,90
Danthonia unispicata,Great Smoky Mountains,74
Echinochloa crus-galli,Yosemite,159
Collinsonia verticillata,Yellowstone,223
Microseris nutans,Great Smoky Mountains,79
Rana pipiens,Yosemite,136
Salix eriocephala,Yosemite,155
Sturnus vulgaris,Yosemite,151
Agrostis gigantea,Yellowstone,253
Chaenactis douglasii var. douglasii,Yosemite,131
Eupatorium pilosum,Great Smoky Mountains,66
Carex tompkinsii,Yosemite,149
Descurainia sophia,Great Smoky Mountains,61
Carex phaeocephala,Yosemite,134
Thlaspi arvense,Yosemite,159
Phacelia cicutaria var. cicutaria,Yellowstone,269
Anas acuta,Yosemite,105
Juglans nigra,Redwood,101
Astragalus kentrophyta var. tegetarius,Yellowstone,259
Eleocharis quadrangulata,Yellowstone,243
Peromyscus truei,Yosemite,126
Carex cherokeensis,Yellowstone,291
Quercus palustris,Yellowstone,
Potamogeton foliosus var. foliosus,Yellowstone,289
Lanius excubitor,Redwood,64
Lotus crassifolius var. crassifolius,Great Smoky Mountains,77
Bromus japonicus,Redwood,70
Andropogon virginicus,Yosemite,147
Matricaria discoidea,Yosemite,108
Rana draytonii,Yosemite,69
Peromyscus californicus,Yellowstone,276
Linanthus filipes,Great Smoky Mountains,74
Quercus chrysolepis,Great Smoky Mountains,74
Antennaria neglecta,Great Smoky Mountains,85
Oreothlypis peregrina,Yellowstone,250
Plethodon,Redwood,102
Scutellaria ovata,Yellowstone,210
Carex complanata,Yosemite,139
Ribes oxyacanthoides var. setosum,Great Smoky Mountains,87
Linnaea borealis,Yellowstone,245
Drosera anglica,Great Smoky Mountains,100
Dendroica petechia,Redwood,75
Agrostis gigantea,Yellowstone,235
Rana sierrae,Yosemite,42
Sitta carolinensis,Redwood,73
Spinus lawrencei,Yellowstone,305
Lilium grayi,Great Smoky Mountains,89
Carex stenoptila,Yosemite,137
Anthemis tinctoria,Redwood,116
Agrostis mertensii,Yosemite,128
Paeonia brownii,Great Smoky Mountains,62
Sayornis nigricans,Great Smoky Mountains,35
Cryptantha muricata,Redwood,127
Dendroica pensylvanica,Redwood,137
Gila atraria,Yosemite,142
Sedum pulchellum,Yosemite,184
Anaxyrus canorus,Great Smoky Mountains,30
Hemerocallis lilioasphodelus,Yellowstone,243
Neovison vison,Yellowstone,218
Eurhynchium hians,Great Smoky Mountains,46
Juniperus occidentalis,Great Smoky Mountains,71
Cynoglossum grande,Yellowstone,233
Eupatorium rugosum,Great Smoky Mountains,77
Pinus,Great Smoky Mountains,85
Crepis intermedia,Redwood,103
Populus balsamifera ssp. balsamifera,Yellowstone,255
Gypsophila paniculata,Yosemite,174
Peromyscus truei,Great Smoky Mountains,85
Agrostemma githago,Yosemite,
Juniperus scopulorum,Great Smoky Mountains,75
Elymus multisetus,Yellowstone,256
Erysimum asperum,Great Smoky Mountains,90
Arctium minus,Yosemite,162
Carex amphibola,Yosemite,141
Youngia japonica,Yellowstone,251
Scirpus expansus,Yellowstone,203
Bryohaplocladium microphyllum,Great Smoky Mountains,74
Carex aestivalis,Redwood,115
Spea intermontana,Redwood,60
Funaria hygrometrica,Yellowstone,276
Tytonidae,Redwood,111
Solanum xanti,Great Smoky Mountains,80
Claytonia megarhiza,Redwood,98
Eriogonum wrightii var. trachygonum,Yellowstone,283
Ericameria nauseosa var. oreophila,Redwood,109
Reithrodontomys humulis,Yellowstone,222
Malva parviflora,Great Smoky Mountains,81
Trichomanes intricatum,Yellowstone,225
Perideridia howellii,Yosemite,126
Corydalis aurea,Yosemite,141
Rhus glabra,Yellowstone,238
Juncus ensifolius,Great Smoky Mountains,71
Neotoma macrotis streatori,Redwood,91
Polygonum scandens var. cristatum,Redwood,141
Luxilus chrysocephalus,Great Smoky Mountains,55
Rosa eglanteria,Great Smoky Mountains,67
Cyperus refractus,Yellowstone,222
Penstemon davidsonii var. davidsonii,Redwood,73
Trisetum spicatum,Redwood,119
Panicum philadelphicum,Redwood,103
Torilis nodosa,Yosemite,170
Polytrichum piliferum,Great Smoky Mountains,34
Carex haydeniana,Great Smoky Mountains,119
Stellaria corei,Redwood,117
Pipilo maculatus,Yosemite,135
Pluvialis squatarola,Great Smoky Mountains,95
Actitis macularia,Redwood,91
Spizella arborea,Yosemite,151
Silene oregana,Great Smoky Mountains,69
Salix pseudomonticola,Great Smoky Mountains,58
Geum vernum,Redwood,131
Thalictrum thalictroides,Yosemite,170
Mertensia virginica,Great Smoky Mountains,69
Lithophragma affine,Yellowstone,254
Desmodium laevigatum,Great Smoky Mountains,61
Phoenicaulis cheiranthoides,Yosemite,144
Smilax biltmoreana,Yellowstone,255
Schwetschkeopsis fabronia,Yellowstone,253
Oxytropis campestris var. cusickii,Redwood,70
Cornus nuttallii,Yosemite,145
Ranunculus allegheniensis,Redwood,137
Hieracium caespitosum,Yosemite,134
Pelecanus erythrorhynchos,Great Smoky Mountains,93
Rumex conglomeratus,Great Smoky Mountains,48
Rumex acetosella,Yellowstone,234
Sanicula canadensis,Yosemite,144
Mertensia alpina,Redwood,110
Soliva sessilis,Yellowstone,236
Diodia teres,Great Smoky Mountains,102
Isothecium myosuroides,Yellowstone,273
Xanthocephalus xanthocephalus,Yosemite,134
Rotala ramosior,Yosemite,164
Sorex dispar,Redwood,123
Juncus biflorus,Yellowstone,220
Populus balsamifera,Redwood,89
Moneses uniflora,Great Smoky Mountains,105
Barbilophozia attenuata,Yellowstone,247
Charina bottae,Great Smoky Mountains,77
Cheilanthes alabamensis,Yellowstone,276
Crataegus crus-galli,Great Smoky Mountains,50
Oxytropis deflexa var. sericea,Yosemite,169
Pholistoma auritum var. auritum,Yosemite,157
Bryum pseudotriquetrum,Yosemite,156
Carex eburnea,Yellowstone,251
Thelypodium integrifolium,Yellowstone,285
Clintonia uniflora,Redwood,125
Leptodontium excelsum,Yosemite,130
Astragalus americanus,Redwood,107
Lathyrus venosus var. intonsus,Yosemite,165
Streptopus roseus,Redwood,144
Heterocodon rariflorum,Redwood,141
Vinca major,Yellowstone,255
Ochotona princeps,Redwood,69
Cirsium discolor,Redwood,74
Cardamine angustata,Great Smoky Mountains,52
Convallaria majuscula,Yellowstone,235
Claytonia parviflora ssp. parviflora,Yosemite,157
Arnica fulgens,Yosemite,172
Setaria viridis,Great Smoky Mountains,100
Collinsonia verticillata,Great Smoky Mountains,50
Dipsacus fullonum,Yellowstone,239
Aster integrifolius,Great Smoky Mountains,73
Draba aurea,Yellowstone,242
Lasiurus blossevillii,Great Smoky Mountains,70
Cirsium occidentale var. californicum,Redwood,84
Taricha sierrae,Yosemite,146
Achnatherum X bloomeri,Yellowstone,261
Eriophyllum lanatum,Great Smoky Mountains,61
Selaginella apoda,Redwood,119
Sarracenia purpurea,Yosemite,166
Camissonia subacaulis,Great Smoky Mountains,113
Lewisia rediviva var. rediviva,Yellowstone,252
Acer saccharinum,Yosemite,167
Trifolium cyathiferum,Yosemite,159
Hypericum perforatum,Great Smoky Mountains,81
Carex nigricans,Redwood,128
Gentianopsis simplex,Redwood,87
Cardaria draba,Yosemite,169
Oryzopsis asperifolia,Redwood,126
Juncus bufonius var. bufonius,Yellowstone,255
Ulota crispa,Great Smoky Mountains,108
Podistera nevadensis,Yellowstone,215
Coragyps atratus,Yosemite,150
Mimulus angustatus,Redwood,95
Tyto alba,Yellowstone,235
Piptatherum exiguum,Yosemite,101
Spilogale putorius,Yellowstone,256
Physostegia virginiana,Yosemite,183
Hieracium gronovii,Great Smoky Mountains,102
Cymophyllus fraserianus,Yosemite,132
Plagiomnium cuspidatum,Yellowstone,252
Cynanchum laeve,Yellowstone,236
Empidonax alnorum,Yellowstone,228
Clarkia rhomboidea,Redwood,119
Adenocaulon bicolor,Yosemite,130
Claytonia virginica,Yosemite,146
Peltandra virginica,Yosemite,128
Malaxis unifolia,Yellowstone,259
Arabis platysperma var. howellii,Yosemite,135
Carex nebrascensis,Yosemite,145
Luzula glabrata var. hitchcockii,Redwood,143
Grindelia nana,Yellowstone,236
Viburnum dentatum,Redwood,97
Carex swanii,Yosemite,139
Corallorrhiza trifida,Yosemite,146
Lysimachia fraseri,Yellowstone,238
Arabis glabra var. glabra,Great Smoky Mountains,38
Trifolium hybridum,Redwood,75
Saccharum alopecuroidum,Yellowstone,247
Epilobium oreganum,Redwood,60
Epipactis gigantea,Redwood,71
Hibiscus syriacus,Yosemite,159
Carduus acanthoides,Yosemite,147
Streptopus lanceolatus var. lanceolatus,Redwood,124
Dicranodontium asperulum,Yellowstone,279
Ochotona princeps,Great Smoky Mountains,82
Lonicera flava,Redwood,88
Viola blanda var. palustriformis,Redwood,97
Rubus leucodermis,Redwood,113
Veronica americana,Redwood,77
Lamium amplexicaule,Yosemite,153
Bromus inermis var. inermis,Yosemite,164
Galium tinctorium,Great Smoky Mountains,86
Agrimonia rostellata,Yosemite,148
Melica aristata,Great Smoky Mountains,101
Ribes nevadense,Redwood,116
Melica harfordii,Yosemite,140
Bromus tectorum,Great Smoky Mountains,43
Humulus lupulus,Yellowstone,215
Sparganium emersum,Great Smoky Mountains,75
Ctenidium molluscum,Great Smoky Mountains,52
Thermopsis fraxinifolia,Great Smoky Mountains,79
Cryptantha fendleri,Redwood,112
Rubus alumnus,Yosemite,156
Rana catesbeiana,Great Smoky Mountains,88
Agrostis exarata,Redwood,105
Rudbeckia californica var. californica,Redwood,111
Erigeron elmeri,Yosemite,105
Rubus ursinus,Redwood,111
Linum virginianum,Yosemite,133
Lindernia dubia var. anagallidea,Redwood,129
Percina aurantiaca,Redwood,95
Hedysarum alpinum var. americanum,Yellowstone,239
Pogonatum pensilvanicum,Yellowstone,253
Mentzelia montana,Yellowstone,280
Toxicodendron diversilobum,Redwood,95
Viola lanceolata,Great Smoky Mountains,79
Tamias umbrinus,Great Smoky Mountains,87
Pellaea glabella,Yellowstone,221
Aesculus pavia,Yosemite,164
Egretta thula,Great Smoky Mountains,66
Aythya collaris,Yellowstone,230
Commelina virginica,Yellowstone,230
Poa pratensis,Great Smoky Mountains,85
